symbol,timestamp,strike,expiry,put_option_type,put_days_to_expiry,put_identifier,put_open_interest,put_change_in_oi,put_p_change_in_oi,put_total_traded_volume,put_nse_implied_volatility,put_price,put_price_change,put_p_price_change,put_total_buy_qty,put_total_sell_qty,put_bid_qty,put_bid_price,put_ask_qty,put_ask_price,put_spot_price,call_option_type,call_days_to_expiry,call_identifier,call_open_interest,call_change_in_oi,call_p_change_in_oi,call_total_traded_volume,call_nse_implied_volatility,call_price,call_price_change,call_p_price_change,call_total_buy_qty,call_total_sell_qty,call_bid_qty,call_bid_price,call_ask_qty,call_ask_price,call_spot_price,forward,moneyness,f_minus_k,otm_option_type,close_option,days_to_expiry,rf_rate,implied_volatility,d1,d2,delta,gamma,theta,vega,rho,vanna,charm,volga
NIFTY,2023-01-10 14:07:00,16850.0,2023-01-25 15:30:00,PE,15.057638888888889,OPTIDXNIFTY25-01-2023PE16850.00,782.0,177,29.25619834710744,602,18.45,10.65,3.6500000000000004,52.142857142857146,39050,12900,50,10.6,100,10.8,17914.25,CE,15.057638888888889,OPTIDXNIFTY25-01-2023CE16850.00,7.0,0,0.0,2,37.84,1277.2,51.100000000000136,4.16768615936711,5400,5300,100,1120.0,200,1159.3,17911.5,17984.95,0.065185,1134.9500000000007,PE,10.65,15.057638888888889,0.09757881885734081,0.1840757648064734,1.7621725718804002,1.724784882988579,-0.038863312899197866,0.0001250913,-1.8857,3.0726,-29.27404452046432,-0.0078813969,-1.7546,50.7333
NIFTY,2023-01-10 14:07:00,16900.0,2023-01-25 15:30:00,PE,15.057638888888889,OPTIDXNIFTY25-01-2023PE16900.00,7276.0,1178,19.317809117743522,9184,18.19,12.3,4.65,60.7843137254902,44450,16400,450,12.4,650,12.5,17911.5,CE,15.057638888888889,OPTIDXNIFTY25-01-2023CE16900.00,79.0,-3,-3.658536585365854,5,30.2,1167.0,-39.34999999999991,-3.2619057487462104,6450,6300,800,1076.25,50,1090.65,17914.25,17984.95,0.062222,1084.9500000000007,PE,12.3,15.057638888888889,0.09391822071254033,0.18221433421762692,1.699734894713695,1.6627252815985665,-0.04441797074501056,0.0001408133,-2.0796,3.4238,-33.463269675423305,-0.0085527454,-1.8847,53.1041
NIFTY,2023-01-10 14:07:00,16950.0,2023-01-25 15:30:00,PE,15.057638888888889,OPTIDXNIFTY25-01-2023PE16950.00,476.0,187,64.70588235294117,1155,18.1,13.95,5.049999999999999,56.74157303370785,45550,10250,1100,14.05,50,14.2,17914.25,CE,15.057638888888889,OPTIDXNIFTY25-01-2023CE16950.00,4.0,0,0.0,1,35.88,1179.4,99.75,9.239105265595331,5400,5300,50,1018.55,200,1067.4,17914.25,17984.95,0.059267,1034.9500000000007,PE,13.95,15.057638888888889,0.09391822071254033,0.17971429390784804,1.6419356632299456,1.6054338341211327,-0.05010715305618174,0.0001572479,-2.2591,3.7709,-37.75233157515514,-0.0092218593,-2.004,55.3116
NIFTY,2023-01-10 14:07:00,17000.0,2023-01-25 15:30:00,PE,15.057638888888889,OPTIDXNIFTY25-01-2023PE17000.00,52967.0,-2728,-4.898105754556064,41948,17.95,16.8,6.5,63.106796116504846,111250,96000,2400,16.65,100,16.75,17911.5,CE,15.057638888888889,OPTIDXNIFTY25-01-2023CE17000.00,5727.0,65,1.1480042387848817,704,19.3,993.9,-184.35000000000002,-15.646085295989817,12100,16000,200,989.8,150,991.35,17914.25,17984.95,0.056322,984.9500000000007,PE,16.8,15.057638888888889,0.09391822071254033,0.17951271112120337,1.562953016666768,1.5264921311037876,-0.0588035477501244,0.0001786647,-2.561,4.2797,-44.32192298406912,-0.0099626455,-2.1621,56.8803
NIFTY,2023-01-10 14:07:00,17000.0,2023-01-12 15:30:00,PE,2.057638888888889,OPTIDXNIFTY12-01-2023PE17000.00,77693.0,-8824,-10.199151611821954,229962,30.97,1.45,0.0,0.0,3179350,163050,44250,1.4,10700,1.45,17914.25,CE,2.057638888888889,OPTIDXNIFTY12-01-2023CE17000.00,2562.0,-156,-5.739514348785872,524,44.76,932.1,-178.64999999999998,-16.083727211343685,13450,13200,400,930.0,100,931.05,17914.25,17931.2,0.053329,931.2000000000007,PE,1.45,2.057638888888889,0.14958591730379348,0.30795624399352245,2.3179641074496216,2.2948420134958964,-0.010217016563854027,6.54914e-05,-2.7379,0.3656,-1.0409552942162137,-0.0020234137,-5.5252,6.3145
NIFTY,2023-01-10 14:07:00,17000.0,2023-02-23 15:30:00,PE,44.057638888888896,OPTIDXNIFTY23-02-2023PE17000.00,30159.0,3279,12.198660714285714,10421,18.39,92.85,26.14999999999999,39.20539730134931,38050,20050,800,91.65,350,92.9,17914.25,CE,44.057638888888896,OPTIDXNIFTY23-02-2023CE17000.00,708.0,-7,-0.9790209790209791,67,11.59,1131.95,-145.54999999999995,-11.393346379647747,9100,4500,200,1124.4,50,1135.75,17914.25,18044.9,0.05965,1044.9000000000015,PE,92.85,44.057638888888896,0.059861302233963326,0.17605149664788128,1.0058073852321534,0.9446422558533918,-0.1561219553055112,0.0002163899,-3.0133,14.9732,-351.26010082701816,-0.0128151292,-0.9252,80.8084
NIFTY,2023-01-10 14:07:00,17000.0,2023-03-29 15:30:00,PE,78.05763888888889,OPTIDXNIFTY29-03-2023PE17000.00,32857.0,270,0.8285512627734987,3341,17.97,148.0,25.75,21.063394683026583,41850,32050,50,147.45,50,148.4,17911.5,CE,78.05763888888889,OPTIDXNIFTY29-03-2023CE17000.00,6081.0,-15,-0.24606299212598426,145,0.0,1269.9,-134.54999999999995,-9.580262736302464,11800,7900,150,1252.2,100,1264.1,17914.25,18128.35,0.064264,1128.3499999999985,PE,148.0,78.05763888888889,0.05537635857757162,0.16519622306741175,0.8794065900862696,0.8030122142923666,-0.18735842953079734,0.0001933816,-2.4041,22.452,-758.0144420541778,-0.0130183762,-0.4924,95.9768
NIFTY,2023-01-10 14:07:00,17000.0,2023-06-29 15:30:00,PE,170.05763888888887,OPTIDXNIFTY29-06-2023PE17000.00,8122.0,72,0.8944099378881988,485,18.93,281.0,33.25,13.420787083753785,7300,5000,50,275.7,250,280.35,17914.25,CE,170.05763888888887,OPTIDXNIFTY29-06-2023CE17000.00,336.0,0,0.0,23,0.0,1464.4,-144.54999999999995,-8.984120078311939,4000,1450,100,1479.75,50,1512.9,17914.25,18272.7,0.072195,1272.7000000000007,PE,281.0,170.05763888888887,0.042459956145278095,0.1582383016049089,0.7224144768911024,0.6144046541895017,-0.23041623253169133,0.0001526607,-1.7833,37.5792,-2092.558346695167,-0.0116986596,-0.1889,105.4088
NIFTY,2023-01-10 14:07:00,17000.0,2023-12-28 15:30:00,PE,352.0576388888889,OPTIDXNIFTY28-12-2023PE17000.00,8645.0,120,1.4076246334310851,292,21.69,510.0,35.14999999999998,7.402337580288506,10600,1550,50,505.25,50,511.25,17914.25,CE,352.0576388888889,OPTIDXNIFTY28-12-2023CE17000.00,771.0,-1,-0.12953367875647667,13,0.0,2050.0,-87.84999999999991,-4.1092686577636375,5300,1000,50,1998.05,50,2053.7,17914.25,18700.2,0.095321,1700.2000000000007,PE,510.0,352.0576388888889,0.04448462362542423,0.1711917850432621,0.6510144955007509,0.4828852073562638,-0.2467028434752959,9.83456e-05,-1.4412,56.7873,-4941.7236239960575,-0.0087217843,-0.0664,104.2804
NIFTY,2023-01-10 14:07:00,17000.0,2023-01-19 15:30:00,PE,9.057638888888889,OPTIDXNIFTY19-01-2023PE17000.00,8727.0,1598,22.41548604292327,19805,18.82,6.5,2.3,54.76190476190476,40250,35350,3400,6.45,2500,6.55,17914.25,CE,9.057638888888889,OPTIDXNIFTY19-01-2023CE17000.00,124.0,29,30.526315789473685,53,20.85,965.0,-175.0,-15.350877192982457,12000,10500,450,954.7,100,967.3,17911.5,17953.05,0.054547,953.0499999999993,PE,6.5,9.057638888888889,0.09086343922058218,0.18737829166705935,1.8626990117898503,1.833181459312194,-0.031181923642372423,0.000132522,-2.059,1.9861,-14.053339691641314,-0.0068705671,-2.5911,36.1938
